TF,target
AT5G61590,AT1G09610
AT5G61590,AT1G71930
AT5G61590,AT4G39070
AT5G61590,AT5G15630
AT5G61590,AT1G04240
AT5G61590,AT3G11580
AT5G61590,AT1G42990
AT5G61590,AT1G58220
AT5G61590,AT1G69600
AT5G61590,AT2G44840
AT5G61590,AT2G47520
AT5G61590,AT3G02940
AT5G61590,AT3G15500
AT5G61590,AT3G54220
AT5G61590,AT3G62610
AT5G61590,AT4G25490
AT5G61590,AT4G32040
AT5G61590,AT4G37650
AT5G61590,AT4G37940
AT5G61590,AT5G38140
AT5G61590,AT5G41920
AT5G61590,AT5G52660
AT5G44210,AT1G09610
AT5G44210,AT1G50640
AT5G44210,AT1G17950
AT5G44210,AT3G08500
AT5G44210,AT1G61820
AT5G44210,AT1G71930
AT5G44210,AT2G30490
AT5G44210,AT5G51990
AT5G44210,AT4G39070
AT5G44210,AT2G37090
AT5G44210,AT3G10340
AT5G44210,AT5G15630
AT5G44210,AT5G17420
AT5G44210,AT5G44030
AT5G44210,AT1G01380
AT5G44210,AT1G04240
AT5G44210,AT3G11580
AT5G44210,AT5G07680
AT5G44210,AT1G34670
AT5G44210,AT1G42990
AT5G44210,AT5G59450
AT5G44210,AT1G58220
AT5G44210,AT1G69490
AT5G44210,AT1G69600
AT5G44210,AT2G16910
AT5G44210,AT2G40260
AT5G44210,AT2G44840
AT5G44210,AT2G47520
AT5G44210,AT3G15500
AT5G44210,AT4G32040
AT5G44210,AT4G37650
AT5G44210,AT4G38340
AT5G44210,AT5G03150
AT3G27010,AT1G09610
AT3G27010,AT1G71930
AT3G27010,AT5G15630
AT1G71130,AT1G09610
AT1G71130,AT3G23690
AT1G71130,AT4G39070
AT1G71130,AT5G15630
AT1G71130,AT5G60720
AT1G71130,AT1G01380
AT1G71130,AT1G04240
AT1G71130,AT3G11580
AT1G71130,AT5G07680
AT1G71130,AT1G34670
AT1G71130,AT1G58220
AT1G71130,AT1G69600
AT1G71130,AT1G80840
AT1G71130,AT2G28710
AT1G71130,AT2G44840
AT1G71130,AT3G15500
AT1G71130,AT4G32040
AT1G71130,AT4G37650
AT1G71130,AT4G37940
AT1G71130,AT4G38340
AT1G71130,AT5G25490
AT1G71130,AT5G38140
AT1G71130,AT5G52660
AT1G61730,AT1G09610
AT1G61730,AT1G50640
AT1G61730,AT1G12840
AT1G61730,AT1G15950
AT1G61730,AT1G17950
AT1G61730,AT1G47870
AT1G61730,AT1G27440
AT1G61730,AT1G30490
AT1G61730,AT1G51680
AT1G61730,AT3G08500
AT1G61730,AT5G26660
AT1G61730,AT1G77450
AT1G61730,AT2G47460
AT1G61730,AT1G62990
AT1G61730,AT3G23690
AT1G61730,AT1G71930
AT1G61730,AT1G51600
AT1G61730,AT2G30490
AT1G61730,AT5G51990
AT1G61730,AT2G34710
AT1G61730,AT4G39070
AT1G61730,AT2G40890
AT1G61730,AT5G60690
AT1G61730,AT3G18660
AT1G61730,AT5G12870
AT1G61730,AT4G26220
AT1G61730,AT4G33330
AT1G61730,AT5G13180
AT1G61730,AT5G15630
AT1G61730,AT5G16600
AT1G61730,AT5G17420
AT1G61730,AT5G44030
AT1G61730,AT1G15580
AT1G61730,AT1G01380
AT1G61730,AT1G03840
AT1G61730,AT1G04240
AT1G61730,AT3G11580
AT1G61730,AT1G05710
AT1G61730,AT5G07680
AT1G61730,AT1G09250
AT1G61730,AT1G14920
AT1G61730,AT1G34670
AT1G61730,AT1G42990
AT1G61730,AT3G18990
AT1G61730,AT1G43700
AT1G61730,AT5G59450
AT1G61730,AT1G58220
AT1G61730,AT1G69600
AT1G61730,AT1G72360
AT1G61730,AT2G23290
AT1G61730,AT1G80590
AT1G61730,AT1G80840
AT1G61730,AT2G16910
AT1G61730,AT2G25000
AT1G61730,AT2G46680
AT1G61730,AT2G31730
AT1G61730,AT2G40260
AT1G61730,AT2G40740
AT1G61730,AT2G44840
AT1G61730,AT2G47520
AT1G61730,AT3G15500
AT1G61730,AT4G00940
AT1G61730,AT3G46600
AT1G61730,AT3G54220
AT1G61730,AT4G32040
AT1G61730,AT4G35900
AT1G61730,AT4G37650
AT1G61730,AT4G37940
AT1G61730,AT4G38340
AT1G61730,AT5G03150
AT1G61730,AT5G06839
AT1G61730,AT5G15150
AT1G61730,AT5G16770
AT1G61730,AT5G17490
AT1G61730,AT5G24590
AT1G61730,AT5G25490
AT1G61730,AT5G38140
AT1G61730,AT5G49450
AT1G61730,AT5G52660
AT1G61730,AT5G60890
AT5G13910,AT1G09610
AT5G13910,AT5G15630
AT5G13910,AT1G42990
AT5G13910,AT5G52660
AT1G50640,AT1G09610
AT1G50640,AT3G23690
AT1G50640,AT2G37090
AT1G50640,AT5G15630
AT1G50640,AT5G07680
AT1G50640,AT1G58220
AT1G50640,AT4G32040
AT1G50640,AT4G37940
AT1G50640,AT5G52660
AT3G21175,AT1G12840
AT3G21175,AT1G71930
AT3G21175,AT3G11440
AT3G21175,AT4G37650
AT2G44730,AT1G71130
AT2G44730,AT1G50640
AT2G44730,AT1G15950
AT2G44730,AT1G47870
AT2G44730,AT1G27440
AT2G44730,AT1G30490
AT2G44730,AT3G61850
AT2G44730,AT3G08500
AT2G44730,AT5G26660
AT2G44730,AT1G77450
AT2G44730,AT2G47460
AT2G44730,AT1G61820
AT2G44730,AT3G23690
AT2G44730,AT1G71930
AT2G44730,AT1G51600
AT2G44730,AT1G22810
AT2G44730,AT2G28110
AT2G44730,AT2G30490
AT2G44730,AT5G51990
AT2G44730,AT2G34710
AT2G44730,AT4G39070
AT2G44730,AT2G37090
AT2G44730,AT2G40890
AT2G44730,AT3G19450
AT2G44730,AT5G12870
AT2G44730,AT4G26220
AT2G44730,AT4G27435
AT2G44730,AT4G33330
AT2G44730,AT4G34050
AT2G44730,AT5G13180
AT2G44730,AT5G15630
AT2G44730,AT5G16600
AT2G44730,AT5G17420
AT2G44730,AT5G44030
AT2G44730,AT5G60020
AT2G44730,AT2G22850
AT2G44730,AT5G60720
AT2G44730,AT5G62380
AT2G44730,AT1G01380
AT2G44730,AT1G04240
AT2G44730,AT3G11580
AT2G44730,AT1G05710
AT2G44730,AT5G07680
AT2G44730,AT1G09250
AT2G44730,AT1G09540
AT2G44730,AT1G14920
AT2G44730,AT1G29860
AT2G44730,AT1G34670
AT2G44730,AT1G42990
AT2G44730,AT3G18990
AT2G44730,AT1G43700
AT2G44730,AT5G59450
AT2G44730,AT1G58220
AT2G44730,AT1G69600
AT2G44730,AT1G72360
AT2G44730,AT2G23290
AT2G44730,AT1G80590
AT2G44730,AT2G16910
AT2G44730,AT2G28710
AT2G44730,AT2G46680
AT2G44730,AT2G40260
AT2G44730,AT2G40740
AT2G44730,AT2G44840
AT2G44730,AT3G02940
AT2G44730,AT3G15500
AT2G44730,AT3G46600
AT2G44730,AT3G54220
AT2G44730,AT3G62610
AT2G44730,AT4G25490
AT2G44730,AT4G32040
AT2G44730,AT4G37650
AT2G44730,AT4G38340
AT2G44730,AT5G03150
AT2G44730,AT5G15150
AT2G44730,AT5G16770
AT2G44730,AT5G24590
AT2G44730,AT5G25490
AT2G44730,AT5G38140
AT2G44730,AT5G41920
AT2G44730,AT5G49450
AT2G44730,AT5G52660
AT2G44730,AT5G60890
AT3G06590,AT1G15950
AT2G29660,AT1G15950
AT5G47220,AT1G15950
AT5G47220,AT3G10340
AT5G47220,AT5G15630
AT5G47220,AT1G04240
AT5G47220,AT1G14580
AT5G47220,AT1G42990
AT5G47220,AT1G58220
AT5G47220,AT1G69600
AT5G47220,AT2G44840
AT5G47220,AT4G32040
AT5G47220,AT4G37650
AT1G47870,AT1G71130
AT1G47870,AT1G50640
AT1G47870,AT1G17950
AT1G47870,AT1G30490
AT1G47870,AT5G26660
AT1G47870,AT1G61820
AT1G47870,AT1G71930
AT1G47870,AT2G28110
AT1G47870,AT2G30490
AT1G47870,AT5G51990
AT1G47870,AT4G39070
AT1G47870,AT2G37090
AT1G47870,AT2G38080
AT1G47870,AT5G60690
AT1G47870,AT3G19450
AT1G47870,AT3G23090
AT1G47870,AT5G12870
AT1G47870,AT4G26220
AT1G47870,AT4G28370
AT1G47870,AT4G33330
AT1G47870,AT5G13180
AT1G47870,AT5G15630
AT1G47870,AT5G16600
AT1G47870,AT5G17420
AT1G47870,AT5G44030
AT1G47870,AT5G60020
AT1G47870,AT5G60720
AT1G47870,AT5G62380
AT1G47870,AT1G15580
AT1G47870,AT1G01380
AT1G47870,AT1G04240
AT1G47870,AT3G11580
AT1G47870,AT5G07680
AT1G47870,AT1G09250
AT1G47870,AT1G14580
AT1G47870,AT1G34670
AT1G47870,AT1G42990
AT1G47870,AT3G18990
AT1G47870,AT1G58220
AT1G47870,AT1G69490
AT1G47870,AT1G69600
AT1G47870,AT1G72360
AT1G47870,AT2G23290
AT1G47870,AT1G80840
AT1G47870,AT2G28710
AT1G47870,AT2G46680
